thrL,NP_414542.1,189,255,1,thr operon leader peptide
thrA,NP_414543.1,336,2799,1,fused aspartate kinase/homoserine dehydrogenase 1
thrB,NP_414544.1,2800,3733,1,homoserine kinase
thrC,NP_414545.1,3733,5020,1,threonine synthase
yaaX,NP_414546.1,5233,5530,1,DUF2502 domain-containing protein YaaX
yaaA,NP_414547.1,5682,6459,-1,peroxide stress resistance protein YaaA
yaaJ,NP_414548.1,6528,7959,-1,putative transporter YaaJ
talB,NP_414549.1,8237,9191,1,transaldolase B
mog,NP_414550.1,9305,9893,1,molybdopterin adenylyltransferase
satP,NP_414551.1,9927,10494,-1,acetate/succinate:H(+) symporter
yaaW,NP_414552.1,10642,11356,-1,putative enzyme-specific chaperone YaaW
mbiA,YP_009518733.1,10829,11315,1,uncharacterized protein MbiA
yaaI,NP_414554.1,11381,11786,-1,DUF2541 domain-containing protein YaaI
dnaK,NP_414555.1,12162,14079,1,chaperone protein DnaK
dnaJ,NP_414556.1,14167,15298,1,chaperone protein DnaJ
insL-1,NP_414557.1,15444,16557,1,IS186/IS421 transposase
mokC,NP_414559.1,16750,16960,-1,regulatory protein MokC
hokC,YP_025292.1,16750,16903,-1,protein HokC
nhaA,NP_414560.1,17488,18655,1,Na(+):H(+) antiporter NhaA
nhaR,NP_414561.1,18714,19620,1,DNA-binding transcriptional activator NhaR
insB-1,NP_414562.1,19810,20314,-1,IS1 protein InsB
insA-1,NP_414563.1,20232,20508,-1,IS1 protein InsA
rpsT,NP_414564.1,20814,21078,-1,30S ribosomal subunit protein S20
yaaY,NP_414565.1,21180,21399,1,DUF2575 domain-containing protein YaaY
ribF,NP_414566.1,21406,22348,1,bifunctional riboflavin kinase/FMN adenylyltransferase
ileS,NP_414567.1,22390,25207,1,isoleucine--tRNA ligase
lspA,NP_414568.1,25206,25701,1,lipoprotein signal peptidase
fkpB,NP_414569.1,25825,26275,1,peptidyl-prolyl cis-trans isomerase FkpB
ispH,NP_414570.1,26276,27227,1,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase
rihC,NP_414571.1,27292,28207,1,ribonucleoside hydrolase RihC
dapB,NP_414572.1,28373,29195,1,4-hydroxy-tetrahydrodipicolinate reductase
carA,NP_414573.1,29650,30799,1,carbamoyl phosphate synthetase subunit alpha
carB,NP_414574.1,30816,34038,1,carbamoyl phosphate synthetase subunit beta
caiF,NP_414576.4,34299,34695,1,DNA-binding transcriptional activator CaiF
